filename,Max_Metal_Charge
DB0-m2_o2_o17_f0_pcu,0.919722
DB1-Cu2O8-AZO_A-irmof7_A_No662_repeat,1.119742
DB5-hypotheticalMOF_5836_0_0_0_10_7_7_repeat,1.281663
DB1-Zn2O8-irmof8_A-mofHTB_No4_repeat,1.210759
DB12-c6ce00407e_c6ce00407e2_freeONLY_repeat,0.980775
DB0-m3_o450_o4_f0_fsc,1.070085
DB7-ddmof_22945_repeat,1.409387
DB0-m2_o25_o29_f0_nbo,0.692321
DB12-KUNWEW_clean_repeat,1.184297
DB0-m3_o3_o11_f0_pcu,1.041899
DB0-m2_o18_o23_f0_pcu,1.015159
DB6-cuf_10020_repeat,0.831445
DB0-m3_o1500_o6_f0_fsc,1.095877
DB0-m2_o7_o10_f0_pcu,0.825778
DB0-m2_o8_o8_f0_pcu,0.915128
DB5-hypotheticalMOF_32261_1_0_2_11_21_3_repeat,0.901487
DB0-m2_o7_o8_f0_pcu,0.858145
DB0-m2_o11_o13_f0_pcu,0.922363
DB12-DADPAC_clean_repeat,1.810116
DB0-m3_o45_o23_f0_fsc,1.109789
DB0-m3_o6_o19_f0_nbo,1.309854
DB1-Zn2O8N2-BDC_A-DPAC_A_No771_repeat,0.855528
DB12-c6ce00407e_c6ce00407e2_clean_repeat,0.979763
DB0-m3_o16_o1480_f0_fsc,1.055577
DB0-m3_o6_o18_f0_pcu,1.081285
DB0-m3_o14_o19_f0_nbo,1.306955
DB0-m29_o89_o47_f0_pts,1.478895
DB0-m29_o93_o1510_f0_pts,1.495002
DB0-m3_o3_o4_f0_nbo,1.341774
DB6-cuf_1365_repeat,0.879614
DB0-m2_o3_o4_f0_pcu,0.954652
DB5-hypotheticalMOF_5033794_1_0_1_12_17_6_repeat,1.098906
DB5-hypotheticalMOF_5047980_1_0_1_19_12_10_repeat,0.981345
DB1-Zn2O8N2-ADC_A-irmof10_A_No57_repeat,1.044888
DB0-m3_o2_o5_f0_nbo,1.300439
DB7-ddmof_3318_repeat,1.284743
DB7-ddmof_22618_repeat,1.463128
DB0-m29_o81_o150_f0_pts,1.449438
DB5-hypotheticalMOF_7004_1_1_0_11_2_2_repeat,1.27378
DB0-m3_o10_o28_f0_pcu_repeat,1.077451
DB15-pcu_N65_E30_opt_repeat,1.959972
DB5-hypotheticalMOF_16248_0_0_0_22_11_12_repeat,1.333924
DB0-m2_o8_o26_f0_pcu,0.926322
DB0-m2_o7_o18_f0_pcu,0.836518
DB5-hypotheticalMOF_33420_2_1_2_13_26_0_repeat,0.935657
DB5-hypotheticalMOF_14694_1_0_0_16_1_1_repeat,1.330106
DB5-hypotheticalMOF_8367_1_0_0_0_25_0_repeat,1.314566
DB0-m2_o6_o16_f0_pcu,0.99169
DB7-ddmof_922_repeat,1.128693
DB0-m3_o11_o23_f0_pcu,1.097875
DB0-m2_o18_o25_f0_pcu,0.882032
DB0-m3_o17_o105_f0_fsc,1.042756
DB0-m2_o8_o28_f0_pcu,0.896695
DB12-ja106851d_si_001_clean_repeat,1.00308
DB1-Cu2O8N2-ADC_A-irmof8_A_No774_repeat,1.012217
DB5-hypotheticalMOF_12002_2_0_0_24_24_7_repeat,1.302299
